UniProt1,UniProt2,symbol1,symbol2
Q92731,P51843,ESR2,NR0B1
Q92731,P51911,ESR2,CNN1
Q92731,P52907,ESR2,CAPZA1
Q92731,P53041,ESR2,PPP5C
Q92731,P53814,ESR2,SMTN
Q92731,P55036,ESR2,PSMD4
Q92731,P55060,ESR2,CSE1L
Q92731,P55345,ESR2,PRMT2
Q92731,P55735,ESR2,SEC13
Q92731,P55795,ESR2,HNRNPH2
Q92731,P56182,ESR2,RRP1
Q92731,P57053,ESR2,H2BC12L
Q92731,P57721,ESR2,PCBP3
Q92731,P58012,ESR2,FOXL2
Q92731,P60660,ESR2,MYL6
Q92731,P60709,ESR2,ACTB
Q92731,P61158,ESR2,ACTR3
Q92731,P61163,ESR2,ACTR1A
Q92731,P61626,ESR2,LYZ
Q92731,P62081,ESR2,RPS7
Q92731,P62136,ESR2,PPP1CA
Q92731,P62158,ESR2,CALM1
Q92731,P62191,ESR2,PSMC1
Q92731,P62195,ESR2,PSMC5
Q92731,P62249,ESR2,RPS16
Q92731,P62269,ESR2,RPS18
Q92731,P62277,ESR2,RPS13
Q92731,P62280,ESR2,RPS11
Q92731,P62333,ESR2,PSMC6
Q92731,P62424,ESR2,RPL7A
Q92731,P62701,ESR2,RPS4X
Q92731,P62750,ESR2,RPL23A
Q92731,P62753,ESR2,RPS6
Q92731,P62805,ESR2,H4-16
Q92731,P62829,ESR2,RPL23
Q92731,P62847,ESR2,RPS24
Q92731,P62851,ESR2,RPS25
Q92731,P62854,ESR2,RPS26
Q92731,P62906,ESR2,RPL10A
Q92731,P62910,ESR2,RPL32
Q92731,P62979,ESR2,RPS27A
Q92731,P63244,ESR2,RACK1
Q92731,P78386,ESR2,KRT85
Q92731,P78527,ESR2,PRKDC
Q92731,P81605,ESR2,DCD
Q92731,P82094,ESR2,TMF1
Q92731,P82650,ESR2,MRPS22
Q92731,P82675,ESR2,MRPS5
Q92731,P82914,ESR2,MRPS15
Q92731,P82921,ESR2,MRPS21
Q92731,P82933,ESR2,MRPS9
Q92731,P83111,ESR2,LACTB
Q92731,P84022,ESR2,SMAD3
Q92731,P98160,ESR2,HSPG2
Q92731,P98175,ESR2,RBM10
Q92731,P99999,ESR2,CYCS
Q92731,Q00577,ESR2,PURA
Q92731,Q00653,ESR2,NFKB2
Q92731,Q00987,ESR2,MDM2
Q92731,Q01130,ESR2,SRSF2
Q92731,Q01780,ESR2,EXOSC10
Q92731,Q01968,ESR2,OCRL
Q92731,Q02218,ESR2,OGDH
Q92731,Q02383,ESR2,SEMG2
Q92731,Q02543,ESR2,RPL18A
Q92731,Q03111,ESR2,MLLT1
Q92731,Q03989,ESR2,ARID5A
Q92731,Q04917,ESR2,YWHAH
Q92731,Q05086,ESR2,UBE3A
Q92731,Q05639,ESR2,EEF1A2
Q92731,Q06787,ESR2,FMR1
Q92731,Q07666,ESR2,KHDRBS1
Q92731,Q08043,ESR2,ACTN3
Q92731,Q08378,ESR2,GOLGA3
Q92731,Q09161,ESR2,NCBP1
Q92731,Q09472,ESR2,EP300
Q92731,Q12789,ESR2,GTF3C1
Q92731,Q12796,ESR2,PNRC1
Q92731,Q12802,ESR2,AKAP13
Q92731,Q12840,ESR2,KIF5A
Q92731,Q13007,ESR2,IL24
Q92731,Q13042,ESR2,CDC16
Q92731,Q13105,ESR2,ZBTB17
Q92731,Q13148,ESR2,TARDBP
Q92731,Q13162,ESR2,PRDX4
Q92731,Q13200,ESR2,PSMD2
Q92731,Q13243,ESR2,SRSF5
Q92731,Q13257,ESR2,MAD2L1
Q92731,Q13347,ESR2,EIF3I
Q92731,Q13428,ESR2,TCOF1
Q92731,Q13439,ESR2,GOLGA4
Q92731,Q13485,ESR2,SMAD4
Q92731,Q13503,ESR2,MED21
Q92731,Q13509,ESR2,TUBB3
Q92731,Q13561,ESR2,DCTN2
Q92731,Q13610,ESR2,PWP1
Q92731,Q13823,ESR2,GNL2
Q92731,Q13887,ESR2,KLF5
Q92731,Q14160,ESR2,SCRIB
Q92731,Q14247,ESR2,CTTN
Q92731,Q14315,ESR2,FLNC
Q92731,Q14498,ESR2,RBM39
Q92731,Q14525,ESR2,KRT33B
Q92731,Q14627,ESR2,IL13RA2
Q92731,Q14683,ESR2,SMC1A
Q92731,Q14684,ESR2,RRP1B
Q92731,Q14686,ESR2,NCOA6
Q92731,Q14966,ESR2,ZNF638
Q92731,Q14978,ESR2,NOLC1
Q92731,Q14CN4,ESR2,KRT72
Q92731,Q15020,ESR2,SART3
Q92731,Q15029,ESR2,EFTUD2
Q92731,Q15059,ESR2,BRD3
Q92731,Q15084,ESR2,PDIA6
Q92731,Q15149,ESR2,PLEC
Q92731,Q15323,ESR2,KRT31
Q92731,Q15365,ESR2,PCBP1
Q92731,Q15393,ESR2,SF3B3
Q92731,Q15459,ESR2,SF3A1
Q92731,Q15466,ESR2,NR0B2
Q92731,Q15596,ESR2,NCOA2
Q92731,Q15629,ESR2,TRAM1
Q92731,Q15648,ESR2,MED1
Q92731,Q15649,ESR2,ZNHIT3
Q92731,Q15650,ESR2,TRIP4
Q92731,Q15652,ESR2,JMJD1C
Q92731,Q15653,ESR2,NFKBIB
Q92731,Q15759,ESR2,MAPK11
Q92731,Q15788,ESR2,NCOA1
Q92731,Q15796,ESR2,SMAD2
Q92731,Q16204,ESR2,CCDC6
Q92731,Q16531,ESR2,DDB1
Q92731,Q16630,ESR2,CPSF6
Q92731,Q16637,ESR2,SMN1
Q92731,Q16643,ESR2,DBN1
Q92731,Q2M2I5,ESR2,KRT24
Q92731,Q2NL98,ESR2,VMAC
Q92731,Q2TAZ0,ESR2,ATG2A
Q92731,Q3BBV2,ESR2,NBPF8
Q92731,Q4J6C6,ESR2,PREPL
Q92731,Q4VXU2,ESR2,PABPC1L
Q92731,Q58FF7,ESR2,HSP90AB3P
Q92731,Q5D862,ESR2,FLG2
Q92731,Q5JNZ5,ESR2,RPS26P11
Q92731,Q5JRA6,ESR2,MIA3
Q92731,Q5JTH9,ESR2,RRP12
Q92731,Q5MNZ9,ESR2,WIPI1
Q92731,Q5QJE6,ESR2,DNTTIP2
Q92731,Q5SSJ5,ESR2,HP1BP3
Q92731,Q5T280,ESR2,SPOUT1
Q92731,Q5VST9,ESR2,OBSCN
Q92731,Q5VV67,ESR2,PPRC1
Q92731,Q63ZY3,ESR2,KANK2
Q92731,Q68CK6,ESR2,ACSM2B
Q92731,Q6NSJ5,ESR2,LRRC8E
Q92731,Q6NVV1,ESR2,RPL13AP3
Q92731,Q6P2C8,ESR2,MED27
Q92731,Q6P2E9,ESR2,EDC4
Q92731,Q6PJG2,ESR2,MIDEAS
Q92731,Q6PKG0,ESR2,LARP1
Q92731,Q6PKX4,ESR2,DOK6
Q92731,Q6UN15,ESR2,FIP1L1
Q92731,Q6UX04,ESR2,CWC27
Q92731,Q6ZSC3,ESR2,RBM43
Q92731,Q6ZT12,ESR2,UBR3
Q92731,Q6ZTR5,ESR2,CFAP47
Q92731,Q709C8,ESR2,VPS13C
Q92731,Q709F0,ESR2,ACAD11
Q92731,Q71UM5,ESR2,RPS27L
Q92731,Q7KZ85,ESR2,SUPT6H
Q92731,Q7KZF4,ESR2,SND1
Q92731,Q7Z2W4,ESR2,ZC3HAV1
Q92731,Q7Z3S9,ESR2,NOTCH2NLA
Q92731,Q7Z406,ESR2,MYH14
Q92731,Q7Z4L5,ESR2,TTC21B
Q92731,Q7Z7A1,ESR2,CNTRL
Q92731,Q86U86,ESR2,PBRM1
Q92731,Q86UX2,ESR2,ITIH5
Q92731,Q86V15,ESR2,CASZ1
Q92731,Q86VM9,ESR2,ZC3H18
Q92731,Q86VP6,ESR2,CAND1
Q92731,Q86W42,ESR2,THOC6
Q92731,Q86WR0,ESR2,CCDC25
Q92731,Q86WR7,ESR2,PROSER2
Q92731,Q86WZ0,ESR2,HEATR4
Q92731,Q86XI8,ESR2,ZSWIM9
Q92731,Q8HWS3,ESR2,RFX6
Q92731,Q8IWJ2,ESR2,GCC2
Q92731,Q8IWR1,ESR2,TRIM59
Q92731,Q8IX12,ESR2,CCAR1
Q92731,Q8IY81,ESR2,FTSJ3
Q92731,Q8IYT4,ESR2,KATNAL2
Q92731,Q8IZL8,ESR2,PELP1
Q92731,Q8N1N4,ESR2,KRT78
Q92731,Q8N9T8,ESR2,KRI1
Q92731,Q8NB90,ESR2,SPATA5
Q92731,Q8NC51,ESR2,SERBP1
Q92731,Q8NHW5,ESR2,RPLP0P6
Q92731,Q8NI08,ESR2,NCOA7
Q92731,Q8TAQ2,ESR2,SMARCC2
Q92731,Q8TD06,ESR2,AGR3
Q92731,Q8TDD1,ESR2,DDX54
Q92731,Q8TER0,ESR2,SNED1
Q92731,Q8TF72,ESR2,SHROOM3
Q92731,Q8WUA4,ESR2,GTF3C2
Q92731,Q8WWY3,ESR2,PRPF31
Q92731,Q8WXR4,ESR2,MYO3B
Q92731,Q8WZ42,ESR2,TTN
Q92731,Q92536,ESR2,SLC7A6
Q92731,Q92552,ESR2,MRPS27
Q92731,Q92621,ESR2,NUP205
Q92731,Q92665,ESR2,MRPS31
