UniProt1,UniProt2,symbol1,symbol2
P03372,A6NHL2,ESR1,TUBAL3
P03372,A6NMY6,ESR1,ANXA2P2
P03372,A9YTQ3,ESR1,AHRR
P03372,O00151,ESR1,PDLIM1
P03372,O00159,ESR1,MYO1C
P03372,O00165,ESR1,HAX1
P03372,O00255,ESR1,MEN1
P03372,O00429,ESR1,DNM1L
P03372,O00459,ESR1,PIK3R2
P03372,O00501,ESR1,CLDN5
P03372,O00559,ESR1,EBAG9
P03372,O00567,ESR1,NOP56
P03372,O00571,ESR1,DDX3X
P03372,O14686,ESR1,KMT2D
P03372,O14980,ESR1,XPO1
P03372,O15027,ESR1,SEC16A
P03372,O15042,ESR1,U2SURP
P03372,O15054,ESR1,KDM6B
P03372,O15078,ESR1,CEP290
P03372,O15111,ESR1,CHUK
P03372,O15164,ESR1,TRIM24
P03372,O15379,ESR1,HDAC3
P03372,O15440,ESR1,ABCC5
P03372,O15514,ESR1,POLR2D
P03372,O15523,ESR1,DDX3Y
P03372,O43143,ESR1,DHX15
P03372,O43175,ESR1,PHGDH
P03372,O43251,ESR1,RBFOX2
P03372,O43390,ESR1,HNRNPR
P03372,O43432,ESR1,EIF4G3
P03372,O43463,ESR1,SUV39H1
P03372,O43513,ESR1,MED7
P03372,O43524,ESR1,FOXO3
P03372,O43707,ESR1,ACTN4
P03372,O43772,ESR1,SLC25A20
P03372,O43791,ESR1,SPOP
P03372,O43795,ESR1,MYO1B
P03372,O43813,ESR1,LANCL1
P03372,O43815,ESR1,STRN
P03372,O43823,ESR1,AKAP8
P03372,O60244,ESR1,MED14
P03372,O60341,ESR1,KDM1A
P03372,O60381,ESR1,HBP1
P03372,O60506,ESR1,SYNCRIP
P03372,O60563,ESR1,CCNT1
P03372,O60568,ESR1,PLOD3
P03372,O60832,ESR1,DKC1
P03372,O60869,ESR1,EDF1
P03372,O75110,ESR1,ATP9A
P03372,O75164,ESR1,KDM4A
P03372,O75182,ESR1,SIN3B
P03372,O75293,ESR1,GADD45B
P03372,O75369,ESR1,FLNB
P03372,O75376,ESR1,NCOR1
P03372,O75396,ESR1,SEC22B
P03372,O75448,ESR1,MED24
P03372,O75475,ESR1,PSIP1
P03372,O75528,ESR1,TADA3
P03372,O75533,ESR1,SF3B1
P03372,O75586,ESR1,MED6
P03372,O75925,ESR1,PIAS1
P03372,O75928,ESR1,PIAS2
P03372,O75934,ESR1,BCAS2
P03372,O76014,ESR1,KRT37
P03372,O76021,ESR1,RSL1D1
P03372,O94776,ESR1,MTA2
P03372,O94906,ESR1,PRPF6
P03372,O94923,ESR1,GLCE
P03372,O94953,ESR1,KDM4B
P03372,O94989,ESR1,ARHGEF15
P03372,O94992,ESR1,HEXIM1
P03372,O95155,ESR1,UBE4B
P03372,O95232,ESR1,LUC7L3
P03372,O95257,ESR1,GADD45G
P03372,O95425,ESR1,SVIL
P03372,O95793,ESR1,STAU1
P03372,O95831,ESR1,AIFM1
P03372,O96028,ESR1,NSD2
P03372,P00533,ESR1,EGFR
P03372,P01100,ESR1,FOS
