LID,rg
LID_103738,1.191925877
LID_103740,1.718605628
LID_103741,1.264655172
LID_103743,1.294645102
LID_103748,1.213146922
LID_103749,1.282796781
LID_103750,1.388968963
LID_103751,1.343722564
LID_103752,1.290397112
LID_103753,1.342358974
LID_103754,1.281070969
LID_103757,1.441184424
LID_103758,1.52684492
LID_103760,1.148055833
LID_103762,1.380113931
LID_103763,1.648903879
LID_103764,1.335317578
LID_103765,1.18952497
